District,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,Population2011Census_x,Crimerate,Openspace,Population2011Census_y,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
Barking and Dagenham,33.418749999999996,9.556249999999999,28.062500000000004,0.8062500000000002,10993.125,101.09999999999998,26.825,10935.941176470587,93.88235294117649,77.03529411764708,81.87058823529412,25.941652731053967,10.535294117647057,40.970588235294116,30.31764705882353,10.005882352941176
Barnet,14.238095238095237,4.252380952380953,15.533333333333333,1.3571428571428572,16970.761904761905,75.82857142857144,31.29047619047619,16970.761904761905,71.97142857142858,79.36190476190475,83.74761904761904,20.75681988079049,13.423809523809522,35.49523809523809,38.43333333333334,14.26190476190476
Bexley,14.066666666666666,4.347619047619047,22.980952380952385,1.1857142857142855,11047.47619047619,53.48571428571429,30.43333333333333,11047.47619047619,66.8952380952381,79.0,83.62857142857142,20.396660619239352,16.171428571428574,17.723809523809525,13.795238095238098,2.8333333333333335
Brent,22.452380952380956,7.847619047619046,19.24285714285714,0.8428571428571429,14819.761904761905,106.40952380952383,20.742857142857144,14819.761904761905,81.06666666666668,79.5047619047619,85.9952380952381,20.047143612778047,10.638095238095238,63.79523809523808,55.16190476190476,22.776190476190475
Bromley,13.472727272727269,3.886363636363637,18.10909090909091,1.218181818181818,14063.272727272728,67.21363636363634,42.34545454545455,14063.272727272728,61.58636363636365,79.49090909090908,83.78181818181817,19.52255583867814,16.999999999999996,15.231818181818182,14.122727272727273,2.872727272727272
Camden,33.183333333333344,5.4944444444444445,12.605555555555554,0.4722222222222223,12241.0,164.93333333333337,16.87777777777778,12241.0,54.52777777777777,77.85555555555555,83.11666666666666,16.049583121295065,10.93888888888889,33.46666666666667,42.44444444444445,14.383333333333333
Croydon,18.195833333333336,6.337500000000001,18.091666666666665,0.9958333333333332,15140.75,87.27500000000002,24.662500000000005,15140.75,72.65416666666665,78.72083333333332,82.72916666666667,21.72686279535389,12.566666666666668,42.725,28.170833333333338,7.333333333333333
Ealing,17.999999999999996,6.195652173913042,16.530434782608694,0.9217391304347827,14715.173913043478,96.04782608695652,28.573913043478257,14715.173913043478,78.03478260869565,78.96521739130434,84.98260869565217,20.296344024356152,10.743478260869566,50.96086956521738,48.09130434782608,21.44782608695652
Enfield,17.104761904761908,7.866666666666667,22.876190476190477,1.0047619047619047,14879.333333333334,74.1190476190476,35.57142857142858,14879.333333333334,74.80000000000001,78.52380952380953,82.93809523809523,22.09573109951001,12.685714285714285,37.91428571428571,34.45238095238095,13.895238095238096
Greenwich,33.60588235294118,7.3647058823529425,20.923529411764704,0.7882352941176469,14973.941176470587,87.87647058823529,37.00588235294117,14973.941176470587,81.17647058823529,75.68823529411765,82.81764705882355,21.36370525587617,10.81176470588235,35.294117647058826,29.55294117647059,8.594117647058823
Hackney,43.61052631578948,10.31578947368421,19.963157894736838,0.41052631578947374,12961.578947368422,115.04210526315788,24.094736842105263,12961.578947368422,71.41052631578948,76.48947368421054,83.26842105263155,20.894612797373565,7.094736842105264,45.33157894736842,38.98421052631578,14.500000000000004
Hammersmith and Fulham,31.125,4.9937499999999995,12.787500000000003,0.55625,11405.8125,121.83125,14.29375,11405.8125,49.30625,78.18124999999999,84.69375000000001,16.26385886490367,9.143749999999999,31.356250000000003,42.5,14.287500000000003
Haringey,26.436842105263157,9.389473684210527,17.47894736842105,0.6157894736842104,13417.157894736842,105.10000000000001,25.76842105263158,13417.157894736842,64.21052631578948,76.15789473684211,83.6842105263158,20.217416104013036,8.863157894736842,38.28947368421053,43.61578947368422,18.236842105263158
Harrow,10.28095238095238,3.8142857142857145,16.699999999999996,1.2047619047619047,11383.619047619048,59.01428571428572,24.123809523809516,11383.619047619048,68.5142857142857,80.01428571428572,85.0,20.063248473751166,14.204761904761906,57.45238095238094,44.46190476190477,16.023809523809526
Havering,13.82777777777778,6.427777777777779,26.538888888888888,1.2277777777777776,13179.555555555555,71.21111111111111,44.53333333333333,13179.555555555555,58.67777777777779,78.17777777777778,82.71111111111112,18.650958168857578,17.961111111111112,12.205555555555557,10.127777777777778,2.238888888888889
Hillingdon,16.563636363636363,4.004545454545454,19.100000000000005,1.2318181818181821,12451.636363636364,93.49090909090908,39.39999999999999,12451.636363636364,70.92727272727274,77.91818181818181,83.50909090909092,20.56431650046055,13.272727272727275,37.68181818181818,28.963636363636365,9.618181818181819
Hounslow,22.544999999999995,4.42,17.45,0.9999999999999998,12697.9,100.985,33.025000000000006,12697.9,81.19999999999999,78.255,83.81000000000002,20.22322393464393,10.705,48.00500000000001,42.885,17.529999999999998
Islington,41.99375,6.481250000000001,16.968750000000004,0.4125000000000001,12882.8125,127.13125000000002,13.512500000000001,12882.8125,47.737500000000004,75.26249999999999,81.81874999999998,15.918076296685998,8.831249999999999,31.4875,35.206250000000004,12.08125
Kensington and Chelsea,25.11111111111111,4.266666666666668,10.18888888888889,0.5666666666666667,8813.833333333334,123.77777777777777,17.983333333333334,8813.833333333334,54.01666666666667,84.31111111111112,87.73888888888888,15.287790847630683,12.183333333333332,29.033333333333335,51.394444444444446,20.533333333333335
Kingston upon Thames,11.656249999999998,2.45,13.687499999999998,1.13125,10003.75,69.375,27.34375,10003.75,60.96874999999999,79.46875,84.06249999999999,18.970624565856408,12.89375,25.643749999999997,28.1875,9.231250000000001
Lambeth,34.620000000000005,7.785000000000001,14.025,0.52,14468.7,125.28000000000002,19.410000000000004,14415.45,56.18000000000001,76.11499999999998,81.58,17.982592375438173,7.699999999999999,42.580952380952375,38.74761904761905,12.095238095238097
Lewisham,30.861111111111104,7.872222222222222,17.961111111111105,0.6666666666666666,15326.944444444445,97.91111111111111,25.411111111111115,15326.944444444445,69.16666666666667,75.86666666666667,80.92777777777776,20.77874423170952,9.566666666666666,46.24444444444445,33.48888888888889,9.055555555555555
Merton,13.74,4.24,15.099999999999998,0.9400000000000001,9984.65,69.27499999999999,29.014999999999997,9984.65,79.13,80.34,84.66,19.354138331404773,11.745000000000001,34.51,37.575,11.889999999999999
Newham,28.78,9.570000000000002,20.690000000000005,0.6099999999999999,15399.2,103.5,20.715,15399.2,82.47499999999998,76.25500000000001,80.88000000000002,22.726625586091963,6.659999999999999,70.83,53.614999999999995,24.724999999999998
Redbridge,11.104761904761906,5.895238095238096,18.395238095238092,1.080952380952381,13284.285714285714,88.22857142857144,27.97142857142857,13121.3,78.64999999999999,79.105,83.35000000000002,22.20537046700802,12.257142857142856,55.37142857142857,35.85714285714287,12.42857142857143
Richmond upon Thames,12.661111111111111,2.0944444444444446,10.722222222222221,1.0611111111111111,10388.333333333334,61.77222222222221,46.900000000000006,10388.333333333334,70.93333333333332,80.57222222222221,85.53888888888888,19.745819973148958,13.566666666666666,14.072222222222225,24.161111111111115,5.961111111111112
Southwark,43.580952380952375,7.88095238095238,16.399999999999995,0.5285714285714287,13727.761904761905,114.23333333333333,17.809523809523814,13727.761904761905,63.40476190476189,77.4904761904762,83.45714285714284,18.609845532970446,7.800000000000001,45.44285714285714,39.17142857142857,10.866666666666669
Sutton,14.244444444444444,3.8444444444444446,18.555555555555554,1.177777777777778,10563.666666666666,60.71111111111111,26.12222222222222,10563.666666666666,65.73333333333333,78.79444444444442,83.06666666666666,19.909717683553453,14.488235294117647,21.582352941176474,20.094117647058823,10.758823529411764
Tower Hamlets,40.293749999999996,10.7875,20.125000000000004,0.4125,14976.0,119.4375,22.4625,14946.823529411764,65.64117647058822,77.0,83.87647058823529,19.71220879847048,6.241176470588234,54.811764705882354,42.69411764705882,19.252941176470586
Waltham Forest,21.93499999999999,8.895,21.030000000000005,0.7949999999999997,12912.45,98.94,28.52,12912.45,85.895,76.98500000000001,82.36500000000002,21.22669199252756,10.275000000000002,46.46,37.41,14.089999999999998
Wandsworth,20.195,3.939999999999999,11.560000000000002,0.6900000000000001,15349.75,77.31500000000001,25.004999999999995,15349.75,59.004999999999995,77.13500000000002,82.045,16.577752723428056,8.754999999999999,28.335,35.17999999999999,9.8
Westminster,26.494999999999997,5.12,12.88,0.475,10969.8,307.42999999999995,18.404999999999994,10969.8,52.084999999999994,82.78999999999999,87.35999999999999,14.649255737741138,11.285000000000002,37.45,52.910000000000004,21.895000000000003
