,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward
410,71.4,83.0,85.4,20.628147733631803,16.7,30.9,19.7,3.9,Croydon,Shirley
411,73.2,76.2,84.1,20.3216783216783,11.9,33.6,27.3,7.6,Greenwich,Kidbrooke with Hornfair
412,69.3,81.3,84.5,20.6682477678571,10.9,52.5,44.5,15.8,Lambeth,Streatham South
413,94.4,79.0,84.0,20.9631333193951,11.9,49.0,50.1,21.9,Ealing,Greenford Green
414,62.7,76.7,85.7,17.9126315056086,9.9,33.9,38.3,15.0,Hounslow,Brentford
415,92.0,77.2,82.2,23.7965865552072,11.9,50.9,40.8,16.9,Enfield,Jubilee
416,46.8,74.2,78.8,18.4148210057111,8.5,42.9,41.6,17.5,Islington,Finsbury Park
417,77.9,75.3,81.9,22.7557411273486,11.5,33.5,27.6,9.2,Hillingdon,West Drayton
418,74.1,76.2,81.4,25.512972108228396,11.5,37.9,31.0,14.1,Enfield,Turkey Street
419,89.3,74.1,79.9,21.8143899895725,10.7,36.2,31.0,9.4,Greenwich,Charlton
420,50.0,78.0,80.8,12.4461431549687,6.4,31.2,40.5,12.7,Southwark,Riverside
421,81.7,73.8,84.0,27.0427611061058,7.9,60.9,53.5,25.5,Haringey,Northumberland Park
422,67.0,81.1,85.4,18.8390756883908,14.1,31.6,33.2,11.7,Enfield,Southgate
423,80.8,76.3,83.0,26.7334254143646,5.8,70.4,43.5,22.0,Tower Hamlets,Bromley-by-Bow
424,83.9,75.2,83.0,22.460816129255,8.4,55.9,55.5,23.5,Haringey,Bruce Grove
425,87.5,79.6,81.3,24.982765752102605,9.5,36.2,30.2,12.0,Enfield,Southbury
426,52.6,83.0,85.6,19.2941338664093,18.7,9.7,9.7,1.3,Bromley,Chelsfield and Pratts Bottom
427,59.0,74.0,84.4,19.1883698498002,8.5,43.2,54.2,25.6,Haringey,Woodside
428,63.6,74.5,79.2,18.325869789872502,8.9,45.4,35.4,9.4,Lewisham,Ladywell
429,71.4,74.8,85.5,19.698741316459202,9.7,34.9,40.6,16.9,Ealing,Elthorne
430,69.2,77.4,82.2,23.0060506050605,12.4,61.3,38.4,12.8,Redbridge,Aldborough
431,69.1,76.2,82.3,17.0378006872852,7.6,38.9,40.4,15.8,Lambeth,St. Leonard's
432,59.1,76.8,85.9,21.706278334936105,11.9,36.9,39.6,15.1,Ealing,Cleveland
433,66.7,74.3,81.8,24.7065284547264,12.7,41.7,24.8,6.2,Lewisham,Downham
434,78.0,77.1,81.2,19.309682289164897,10.9,33.7,28.9,8.1,Lewisham,Lee Green
435,51.1,78.2,82.6,14.6415094339623,7.5,27.6,30.3,8.3,Wandsworth,Bedford
436,111.7,75.9,87.1,22.326634199876498,8.2,91.4,63.3,36.7,Ealing,Southall Green
437,64.6,72.5,82.8,20.418381344307303,8.2,52.8,55.0,25.8,Haringey,Tottenham Green
438,80.5,74.4,80.8,19.042728019720602,7.1,53.2,53.0,21.2,Waltham Forest,Grove Green
439,79.6,79.6,83.6,19.4632710344355,15.0,31.6,23.1,5.0,Croydon,Purley
440,46.2,77.2,80.3,12.6736467528913,6.7,22.1,32.5,7.1,Wandsworth,Fairfield
441,53.1,79.6,86.6,18.630399125205,23.0,9.5,10.0,1.4,Bromley,Farnborough and Crofton
442,76.2,73.6,81.8,18.247028282552304,8.5,45.7,54.7,25.9,Haringey,St. Ann's
443,44.5,75.5,82.1,13.4503722931894,7.9,34.5,41.9,16.6,Islington,Bunhill
444,66.4,77.2,82.2,20.8287820862916,12.6,37.5,26.9,7.0,Lewisham,Grove Park
445,93.1,76.7,81.2,26.639847265784802,7.4,84.2,55.6,25.1,Redbridge,Clementswood
446,63.3,75.3,79.2,16.2068260780707,9.5,21.4,27.7,6.7,Wandsworth,Nightingale
447,68.6,76.3,80.4,23.2371358562483,12.9,12.8,10.7,2.6,Havering,Gooshays
448,87.7,79.8,87.4,20.288180520628,11.4,56.4,51.4,22.1,Ealing,North Greenford
449,89.0,75.8,77.8,24.2663043478261,6.2,70.8,47.6,12.3,Southwark,Peckham
450,60.0,78.5,82.3,21.7784117926771,13.2,36.7,22.3,4.8,Croydon,Ashburton
451,88.1,76.8,88.2,18.2114483601548,9.7,86.0,68.5,32.9,Brent,Wembley Central
452,97.2,76.0,87.6,23.114008284104,7.8,72.6,58.0,27.7,Hounslow,Hounslow Heath
453,57.2,80.9,79.8,16.4595640660012,6.2,44.5,40.8,14.0,Hackney,Dalston
454,50.4,75.6,79.9,17.799484466151103,13.3,22.9,34.4,9.5,Wandsworth,West Putney
455,59.5,79.3,84.4,15.687072062911,7.8,19.4,28.5,6.5,Wandsworth,Balham
456,73.7,74.4,79.4,23.2473074578338,9.0,47.7,35.3,11.6,Lambeth,Knight's Hill
457,94.4,74.5,86.2,26.335748628699104,8.6,68.2,45.3,18.5,Hillingdon,Pinkwell
458,76.6,75.2,79.1,25.1573604060914,10.2,51.3,29.6,6.2,Lewisham,Bellingham
459,64.2,71.3,80.8,17.4616061159597,7.4,39.9,30.9,10.9,Tower Hamlets,Bow East
460,72.4,74.6,75.9,22.9574611748818,7.7,59.2,47.9,18.6,Newham,Canning Town North
461,59.7,81.2,83.0,17.982604005124397,21.5,12.0,12.7,1.9,Bromley,Chislehurst
462,63.7,81.4,82.9,15.1731572564344,8.8,12.3,31.4,5.8,Wandsworth,Thamesfield
463,89.0,78.6,80.3,25.239121648929,6.5,82.2,59.8,29.7,Newham,Wall End
464,74.1,76.5,80.4,21.1188905345362,10.0,38.2,31.1,8.2,Lewisham,Forest Hill
465,102.2,74.9,81.8,27.7676828857931,7.0,63.7,39.5,18.6,Tower Hamlets,East India and Lansbury
466,66.9,73.6,83.2,16.3706096083973,5.6,60.2,48.8,24.8,Tower Hamlets,Whitechapel
467,62.9,76.4,79.8,20.453170174141103,11.1,43.5,50.5,23.4,Ealing,South Acton
468,52.2,80.9,84.7,19.8535339962376,19.7,10.6,9.7,1.3,Bromley,West Wickham
469,61.6,79.9,83.8,20.1730846638937,14.9,18.0,17.1,4.4,Enfield,Town
470,68.6,75.4,77.7,19.327787468133604,8.3,43.1,41.2,14.2,Lambeth,Streatham Wells
471,94.6,76.7,83.1,19.5507877975193,9.0,52.3,50.2,21.9,Brent,Kensal Green
472,78.2,75.2,80.1,22.036739072137298,9.0,59.1,38.0,10.2,Lewisham,Rushey Green
473,84.4,78.5,86.4,19.5353819374707,9.1,39.6,30.1,7.0,Lewisham,Crofton Park
474,72.9,80.1,81.1,19.0361445783133,6.0,14.9,28.9,5.7,Wandsworth,Northcote
475,26.6,75.0,93.3,10.6887089217589,7.4,38.4,40.0,10.4,Southwark,Cathedrals
476,115.0,80.5,84.8,20.6622073578595,10.5,77.3,62.2,28.4,Brent,Sudbury
477,67.1,73.8,77.7,21.0670589021863,13.5,22.3,17.4,4.4,Havering,Brooklands
478,76.0,78.0,80.7,20.7603902178271,14.9,23.2,17.9,3.0,Croydon,Kenley
479,35.0,72.8,81.1,15.5776546752987,8.2,36.1,39.6,14.9,Islington,Holloway
480,45.7,80.7,85.1,13.273864998002901,11.0,20.6,39.4,9.3,Wandsworth,East Putney
481,54.4,75.3,85.1,15.189620758483,6.7,32.1,34.5,12.8,Islington,Highbury West
482,69.6,74.4,85.1,21.1881319850985,7.4,61.1,46.8,13.4,Southwark,Camberwell Green
483,37.5,74.8,82.6,12.5598722724854,6.2,40.4,41.7,11.8,Lambeth,Ferndale
484,94.5,75.6,82.0,24.9634162564853,9.1,60.2,42.7,17.9,Hillingdon,Botwell
485,76.0,85.3,88.1,20.399760940301498,9.7,55.9,56.2,23.8,Brent,Dudden Hill
486,69.1,75.7,78.3,23.645778013807803,7.8,57.4,53.5,22.3,Haringey,Tottenham Hale
487,57.7,78.3,81.5,19.2210888859452,19.8,14.5,15.7,2.7,Bromley,Bickley
488,99.6,80.5,86.6,18.417742469381,11.3,76.3,62.9,26.6,Brent,Tokyngton
489,42.1,77.1,79.8,13.9944392956441,7.2,36.9,42.6,15.0,Lambeth,Oval
490,67.3,74.3,82.8,18.3689680280665,7.2,39.6,35.3,10.8,Lambeth,Herne Hill
491,78.3,81.0,95.2,22.3891462607545,6.3,64.4,45.1,23.2,Tower Hamlets,Shadwell
492,86.8,80.7,86.6,21.015020181300898,7.4,89.3,61.1,32.7,Newham,Green Street West
493,63.5,79.8,83.6,20.743730563091397,16.6,12.8,12.1,1.9,Bromley,Bromley Common and Keston
494,102.2,78.6,86.0,25.553865485086998,9.8,55.1,41.5,18.6,Ealing,Northolt West End
495,68.7,77.8,81.2,19.6270334611824,14.8,19.3,16.9,3.9,Bromley,Plaistow and Sundridge
496,55.1,81.9,82.6,21.9932633247474,4.8,54.2,49.7,23.5,Newham,Beckton
497,73.2,85.1,85.8,20.0857802705378,12.2,72.9,57.7,24.1,Brent,Queensbury
498,68.7,80.3,83.0,20.1068672075994,16.8,34.3,37.6,13.7,Barnet,Totteridge
499,64.8,78.9,83.3,18.8431605329112,13.3,35.4,41.4,18.1,Enfield,Palmers Green
500,82.3,78.0,79.7,24.2152466367713,9.2,76.7,47.6,19.3,Redbridge,Seven Kings
501,81.6,78.5,87.0,18.5312149779155,9.5,70.7,64.5,29.5,Hounslow,Hounslow Central
502,47.7,77.9,84.0,15.862659812837698,6.2,46.5,44.8,16.6,Hackney,Hoxton
503,36.3,88.5,97.5,14.824087495058599,5.2,49.9,45.2,13.3,Southwark,Chaucer
504,91.7,77.6,85.0,23.506553382072102,10.7,51.7,44.1,19.5,Ealing,Northolt Mandeville
505,35.2,76.5,86.4,18.8940092165899,6.6,52.6,40.6,16.4,Tower Hamlets,Mile End and Globe Town
506,63.8,76.9,84.0,17.8707724700618,8.8,46.4,42.4,14.4,Wandsworth,Graveney
507,68.9,77.4,81.4,21.4670698041278,11.3,56.2,32.2,7.1,Lewisham,Catford South
508,72.8,76.7,79.6,18.6922017446055,8.1,17.8,25.7,4.5,Wandsworth,Wandsworth Common
509,76.3,80.4,87.9,17.983116288201,8.6,37.0,41.9,14.4,Brent,Queens Park
510,56.5,78.2,82.3,18.455608545110103,16.5,18.3,22.1,6.3,Barnet,High Barnet
511,57.0,79.1,84.6,19.1626934883417,21.2,12.6,11.9,2.3,Bromley,Orpington
512,97.6,75.3,79.5,23.5082908995952,7.1,81.5,56.2,27.6,Newham,Manor Park
513,88.3,82.6,87.0,20.1251711324076,11.0,54.6,55.4,26.7,Ealing,Perivale
514,59.1,73.0,81.5,18.9608021877849,8.5,44.5,39.7,11.5,Wandsworth,Latchmere
515,59.7,77.9,81.1,14.106236167165699,6.5,39.1,38.3,10.8,Southwark,Grange
516,61.5,77.4,82.4,13.169178794178801,16.8,17.4,20.3,4.6,Bromley,Copers Cope
517,75.1,81.3,90.7,19.66033577494,9.6,40.0,48.3,21.0,Ealing,Acton Central
518,70.1,77.6,81.1,22.1819359015863,15.9,14.6,12.3,2.5,Bromley,Cray Valley East
519,68.1,76.1,84.2,14.9598653547385,6.7,27.7,33.4,8.2,Wandsworth,Earlsfield
520,96.0,75.3,82.2,23.6005171299289,7.1,73.4,52.1,23.6,Newham,Plaistow North
521,100.4,80.1,86.2,20.427814398345603,12.4,70.0,57.3,22.8,Brent,Preston
522,74.2,77.2,81.4,22.045923632610897,9.8,43.1,36.7,12.9,Wandsworth,Furzedown
523,72.6,78.6,86.0,16.066713890141,8.3,43.4,52.3,21.3,Brent,Mapesbury
524,93.6,77.1,82.7,24.9919567595393,6.3,35.5,32.3,14.2,Hounslow,Feltham West
525,64.1,77.2,80.9,21.5998971127259,7.0,65.5,51.2,22.1,Newham,West Ham
526,77.7,78.8,84.7,19.7879177377892,11.5,20.6,17.3,3.9,Bromley,Clock House
527,71.1,83.2,88.2,18.9705031810295,12.8,43.1,53.1,23.8,Ealing,Hanger Hill
528,87.8,74.5,83.8,19.8393832316094,9.1,50.7,37.7,8.5,Southwark,The Lane
529,100.0,74.9,80.2,27.8523274478331,7.4,67.7,46.6,19.7,Newham,East Ham South
530,54.4,78.2,88.1,19.1634054019375,7.6,52.7,56.3,25.9,Brent,Willesden Green
531,71.8,75.4,80.3,20.1666132649792,11.9,41.8,30.2,7.1,Lewisham,Sydenham
532,73.5,76.2,80.8,20.687668075297697,9.6,42.5,30.5,7.2,Lewisham,Perry Vale
533,61.6,77.6,80.8,25.9001532175689,9.1,54.6,43.5,19.0,Enfield,Ponders End
534,107.0,73.2,77.7,23.891264118435302,8.4,64.8,50.4,21.2,Waltham Forest,Lea Bridge
535,105.3,74.3,81.1,26.853031074885397,9.6,46.3,32.0,7.6,Greenwich,Abbey Wood
536,72.1,82.4,86.3,18.7527839643653,16.5,33.1,40.9,14.5,Barnet,Finchley Church End
537,74.9,73.7,78.2,20.1891342980452,5.9,59.7,46.6,15.3,Lewisham,New Cross
538,63.2,77.4,81.4,21.0259336757339,6.6,52.6,38.6,11.3,Lambeth,Tulse Hill
539,79.0,79.6,82.7,20.8787725082425,12.3,69.7,56.5,22.9,Brent,Barnhill
540,77.8,78.9,83.3,18.2457251424953,12.0,31.3,24.3,6.5,Croydon,Croham
541,72.5,78.9,84.3,19.1006261463538,16.4,26.7,28.5,8.6,Barnet,Oakleigh
542,44.5,74.8,78.4,15.7050877414468,7.0,41.5,37.4,11.1,Lambeth,Brixton Hill
543,96.4,81.9,83.0,22.259993704752898,5.7,89.9,62.2,33.2,Newham,Green Street East
544,46.1,82.0,85.0,20.2554744525547,17.5,16.0,13.6,2.5,Bromley,Kelsey and Eden Park
545,48.9,80.5,86.7,20.042751163083103,17.9,8.3,8.7,1.0,Bromley,Hayes and Coney Hall
546,48.9,78.2,82.6,20.5717876217405,16.2,27.3,25.4,6.9,Barnet,Underhill
547,104.2,75.1,81.7,22.453980021360803,7.1,81.9,61.4,29.1,Newham,East Ham Central
548,70.0,76.4,81.0,17.6747691727907,14.0,16.4,16.6,5.6,Havering,Romford Town
549,73.5,82.7,87.3,20.3653713353004,16.3,21.4,36.0,10.9,Barnet,Garden Suburb
550,90.7,77.6,89.3,27.041583166332696,7.3,41.2,49.1,22.5,Haringey,Seven Sisters
551,89.0,75.6,82.4,24.940558127893897,7.5,78.1,54.8,26.4,Newham,Boleyn
552,70.3,77.0,79.3,22.275741273614397,6.2,56.8,43.8,19.7,Tower Hamlets,Limehouse
553,67.8,79.3,84.9,18.869222590531002,13.0,28.2,34.4,10.4,Barnet,East Finchley
554,59.8,74.5,85.9,21.0865216304076,7.1,54.5,47.5,19.9,Newham,Canning Town South
555,70.6,78.1,86.2,26.255693517189698,10.3,42.2,34.3,14.5,Enfield,Enfield Highway
556,82.2,78.1,82.8,20.992413878870803,11.0,51.3,33.9,9.0,Croydon,Upper Norwood
557,48.3,74.1,81.2,18.4540044631788,10.5,34.5,38.6,15.5,Wandsworth,Roehampton
558,65.8,80.5,84.5,20.7225630538514,13.7,23.4,23.4,7.2,Barnet,East Barnet
559,90.1,80.9,84.3,23.060304919449397,9.8,73.5,45.3,12.9,Croydon,Bensham Manor
560,92.9,71.6,77.3,23.7159748737529,8.5,65.2,39.8,19.8,Tower Hamlets,St. Dunstan's and Stepney Green
561,57.3,76.0,79.7,17.907506619865803,9.0,52.7,45.4,15.2,Wandsworth,Tooting
562,70.0,78.9,89.8,18.503937007874,7.7,24.4,34.8,9.0,Wandsworth,Southfields
563,69.6,74.2,79.8,21.2708371778311,6.9,64.1,50.5,21.0,Newham,Forest Gate North
564,83.4,81.0,83.4,25.4196642685851,9.3,54.3,46.0,22.1,Enfield,Haselbury
565,42.0,76.9,84.6,14.1877411058723,7.8,35.7,42.4,15.4,Wandsworth,Queenstown
566,55.2,83.8,83.2,20.6233988044406,14.4,31.6,30.9,10.2,Barnet,Brunswick Park
567,56.1,75.8,78.3,18.8452627728326,9.5,31.7,43.5,13.5,Wandsworth,West Hill
568,102.3,75.4,83.4,25.1097293343087,6.6,67.3,51.7,21.9,Newham,Plaistow South
569,53.8,76.4,78.8,19.5321067381504,7.0,49.4,36.9,10.9,Lewisham,Telegraph Hill
570,91.1,76.4,79.1,27.2876313073046,8.2,45.1,33.8,14.0,Enfield,Enfield Lock
571,73.7,81.5,82.8,21.018451080359302,13.4,62.3,43.6,13.0,Croydon,Norbury
572,75.6,75.6,84.4,21.297977963433798,9.9,52.3,32.1,8.2,Croydon,South Norwood
573,64.3,75.6,82.1,17.4320808374176,7.7,33.3,34.8,9.7,Greenwich,Greenwich West
574,111.2,75.7,79.8,27.451454842417302,9.2,58.9,46.1,19.5,Enfield,Lower Edmonton
575,64.6,79.9,81.6,17.5588217504385,12.5,39.2,44.7,19.0,Barnet,West Finchley
576,87.1,75.6,82.8,25.0256968377774,9.1,67.1,37.6,9.4,Croydon,Thornton Heath
577,64.6,72.5,76.2,13.916404928726699,10.4,28.2,38.9,11.3,Wandsworth,St. Mary's Park
578,74.2,79.2,80.9,17.587060172611498,11.7,48.7,42.3,13.7,Croydon,Fairfield
579,65.5,76.7,84.0,23.200626392820602,6.0,60.9,44.8,16.0,Lewisham,Evelyn
580,107.8,71.2,78.9,27.782119882162,6.7,82.0,54.5,27.3,Newham,Little Ilford
581,76.4,80.1,83.6,23.320181731229102,13.8,39.2,37.4,12.1,Barnet,Edgware
582,106.6,74.0,83.3,23.3568355640535,8.6,55.4,41.7,14.6,Greenwich,Plumstead
583,75.4,79.3,80.6,24.386310697007698,7.9,55.1,28.4,6.3,Croydon,Woodside
584,84.5,78.8,83.8,25.4474940334129,9.1,77.2,47.5,17.6,Redbridge,Newbury
585,68.2,76.6,82.6,23.6269306458346,14.9,13.9,10.9,2.5,Bromley,Cray Valley West
586,63.0,73.1,80.0,21.5622020972355,6.1,62.1,43.7,13.3,Lambeth,Coldharbour
587,73.4,78.0,81.1,19.3510043979555,13.9,18.5,19.9,4.9,Bromley,Bromley Town
588,64.9,76.8,81.4,18.6815139489427,9.7,43.6,34.5,10.2,Croydon,Addiscombe
589,72.6,75.1,87.9,28.190262083653803,8.7,76.5,48.8,17.2,Brent,Stonebridge
590,81.4,76.2,84.2,18.600270763435198,8.6,50.0,48.1,18.4,Brent,Kilburn
591,74.1,74.8,80.1,22.275575335246202,11.0,44.6,30.1,8.9,Croydon,Waddon
592,68.6,76.4,84.6,22.2306702538309,8.4,59.9,52.7,23.2,Barnet,Colindale
593,53.0,75.0,80.1,15.248309629284199,6.5,43.1,36.8,10.5,Lewisham,Brockley
594,106.9,71.9,80.6,25.8652837664608,8.0,67.0,52.9,23.0,Brent,Harlesden
595,38.8,74.0,79.2,16.6560343327727,6.2,43.3,42.2,13.0,Lambeth,Larkhall
596,72.5,76.7,81.1,19.7101449275362,10.3,35.0,36.1,13.6,Barnet,Coppetts
597,70.5,75.5,80.6,20.801108161145102,9.7,34.6,25.8,6.4,Bromley,Penge and Cator
598,61.8,74.6,77.2,19.410206197442697,6.5,68.2,54.8,25.5,Newham,Forest Gate South
599,88.4,75.4,76.7,25.8432139979279,9.2,58.0,48.4,22.7,Enfield,Upper Edmonton
600,85.8,78.2,84.3,19.8080680381565,11.4,50.6,53.6,24.7,Barnet,West Hendon
601,90.5,81.2,83.8,23.1060388828354,13.4,40.6,35.7,11.7,Barnet,Hale
602,67.4,71.4,77.6,18.3308494783905,8.4,51.6,41.2,12.4,Lewisham,Lewisham Central
603,81.5,77.6,82.5,25.050031448339,9.5,76.5,46.5,15.1,Croydon,West Thornton
604,100.5,73.9,85.4,26.9101091490942,5.9,57.6,41.8,13.6,Greenwich,Woolwich Common
605,57.8,78.6,81.1,18.7482219061166,13.6,37.6,41.0,16.2,Barnet,Woodhouse
606,93.5,77.4,81.2,23.4439716312057,11.0,57.3,48.6,22.2,Ealing,Greenford Broadway
607,49.1,78.5,79.7,15.4547501125619,5.6,59.2,54.9,23.5,Newham,Stratford and New Town
608,124.1,74.8,79.6,27.973703270377197,8.4,60.6,46.8,21.4,Enfield,Edmonton Green
609,77.3,73.9,78.9,24.5535467462819,8.7,65.6,40.1,11.5,Croydon,Selhurst
610,91.0,73.2,77.4,22.8606020582246,7.1,55.0,42.2,13.8,Greenwich,Glyndon
611,94.3,74.7,82.1,24.5814349234232,9.3,53.5,47.1,19.3,Barnet,Burnt Oak
612,63.8,80.7,86.6,22.8171914801366,13.1,36.1,34.4,10.2,Barnet,Mill Hill
613,88.4,80.1,85.3,20.0844521437852,11.9,36.3,48.2,20.3,Barnet,Hendon
614,83.8,75.3,83.8,25.7613124597898,7.1,68.6,46.2,16.9,Croydon,Broad Green
615,62.3,80.1,85.6,19.250507858441104,8.2,50.1,54.4,22.4,Ealing,East Acton
616,98.7,78.3,84.2,27.186736103730503,12.0,34.2,45.8,17.5,Barnet,Golders Green
617,84.4,73.8,80.2,23.6297071129707,6.2,49.0,39.4,13.3,Greenwich,Woolwich Riverside
618,75.1,77.4,83.4,17.804840450131,4.7,50.4,48.6,21.9,Tower Hamlets,Blackwall and Cubitt Town
619,122.5,74.3,77.5,28.6467308667005,4.7,57.6,41.8,12.1,Greenwich,Thamesmead Moorings
620,69.0,77.4,82.0,19.173026086089102,12.4,38.9,51.2,23.0,Barnet,Childs Hill
621,58.1,83.6,95.0,15.5605614278288,3.5,47.6,52.1,23.4,Tower Hamlets,Millwall
622,,,,29.0256286266925,7.5,83.5,53.2,23.7,Redbridge,Loxford
623,,,,18.3799147323543,6.9,44.3,44.9,17.8,Lambeth,Stockwell
